Sno,SICK_id,Premise,Hypothesis,Modifier,Premise/Hypothesis/Both,Part of Premise/Hypothesis Modified,Modifier Type,"Ground Truth 
(Total 7 Entailment Relations but also Includes multiple labels for some premise, hypothesis )","CompressedGT
(FE, RE, Neutral & Contradiction)"
331,150,a deer is always jumping over a fence,a deer isn't always jumping over the fence,always,Both,Verb,Universal,Negation|Alternation,Contradiction
332,150,a deer is never jumping over a fence,a deer is n't jumping over the fence,never,Premise,Verb,Universal,FE,FE
334,150,a deer is never jumping over a fence,a deer isn't never jumping over the fence,never,Both,Verb,Universal,Alternation,Contradiction
336,150,A deer is jumping over a good fence,"A deer isn't jumping over the fence
",good,Premise,Object,Adjectives/Adverbs,Alternation,Contradiction
337,150,A deer is jumping over a fence,A deer isn't jumping over the good fence,good,Hypothesis,Object,Adjectives/Adverbs,Alternation,Contradiction
338,150,A deer is jumping over a good fence,A deer isn't jumping over the good fence,good,Both,Object,Adjectives/Adverbs,Alternation,Contradiction
339,150,A deer is jumping over all but one fence,"A deer isn't jumping over the fence
",all but one,Premise,Object,Existential,FE,FE
340,150,A deer is jumping over a fence,A deer isn't jumping over all but one fence,all but one,Hypothesis,Object,Existential,RE,RE
341,150,A deer is jumping over all but one fence,A deer isn't jumping over all but one fence,all but one,Both,Object,Existential,Neutral,Neutral
342,150,A deer is jumping over every fence,"A deer isn't jumping over the fence
",every,Premise,Object,Universal,Negation|Alternation,Contradiction
343,150,A deer is jumping over a fence,A deer isn't jumping over every fence,every,Hypothesis,Object,Universal,RE,RE
344,150,A deer is jumping over every fence,A deer isn't jumping over every fence,every,Both,Object,Universal,Negation|Alternation,Contradiction
345,150,A deer is jumping over a bad fence,"A deer isn't jumping over the fence
",bad,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
346,150,A deer is jumping over a fence,A deer isn't jumping over the bad fence,bad,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
347,150,A deer is jumping over a bad fence,A deer isn't jumping over the bad fence,bad,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
348,150,A deer is jumping over a green fence,"A deer isn't jumping over the fence
",green,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
349,150,A deer is jumping over a fence,A deer isn't jumping over the green fence,green,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
350,150,A deer is jumping over a green fence,A deer isn't jumping over the green fence,green,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
351,150,A deer is jumping over a happy fence,"A deer isn't jumping over the fence
",happy,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
352,150,A deer is jumping over a fence,A deer isn't jumping over the happy fence,happy,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
353,150,A deer is jumping over a happy fence,A deer isn't jumping over the happy fence,happy,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
354,150,A deer is jumping over a an abnormal fence,"A deer isn't jumping over the fence
",an abnormal,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
355,150,A deer is jumping over a fence,A deer isn't jumping over the an abnormal fence,an abnormal,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
356,150,A deer is jumping over a an abnormal fence,A deer isn't jumping over the an abnormal fence,an abnormal,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
357,150,A deer is jumping over a sad fence,"A deer isn't jumping over the fence
",sad,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
358,150,A deer is jumping over a fence,A deer is not jumping over the sad fence,sad,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
359,150,A deer is jumping over a sad fence,A deer is not jumping over the sad fence,sad,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
362,150,A deer is jumping over no fence,A deer isn't jumping over no fence,no,Both,Object,Negation,Negation|Alternation,Contradiction
363,150,A deer is jumping over some fence,"A deer isn't jumping over the fence
",some,Premise,Object,Existential,Negation|Alternation,Contradiction
364,150,A deer is jumping over a fence,A deer isn't jumping over some fence,some,Hypothesis,Object,Existential,Negation|Alternation,Contradiction
365,150,A deer is jumping over some fence,A deer isn't jumping over some fence,some,Both,Object,Existential,Negation|Alternation,Contradiction
366,150,A deer is jumping over exactly one fence,"A deer isn't jumping over the fence
",exactly one,Premise,Object,Existential,Negation|Alternation,Contradiction
367,150,A deer is jumping over a fence,A deer isn't jumping over exactly one fence,exactly one,Hypothesis,Object,Existential,Negation|Alternation,Contradiction
368,150,A deer is jumping over exactly one fence,A deer isn't jumping over exactly one fence,exactly one,Both,Object,Existential,Negation|Alternation,Contradiction
369,150,A deer is jumping over a an elegant fence,"A deer isn't jumping over the fence
",an elegant,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
370,150,A deer is jumping over a fence,A deer isn't jumping over the an elegant fence,an elegant,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
371,150,A deer is jumping over a an elegant fence,A deer isn't jumping over the an elegant fence,an elegant,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
372,167,a boy is hitting a baseball,a child is hitting a baseball,NONE,NONE,NONE,No Modifiers,FE,FE
373,167,every boy is hitting a baseball,a child is hitting a baseball,every,Premise,Subject,Universal,FE,FE
374,167,a boy is hitting a baseball,every child is hitting a baseball,every,Hypothesis,Subject,Universal,RE,RE
375,167,every boy is hitting a baseball,every child is hitting a baseball,every,Both,Subject,Universal,RE,RE
376,167,some boy is hitting a baseball,a child is hitting a baseball,some,Premise,Subject,Existential,FE,FE
377,167,a boy is hitting a baseball,some child is hitting a baseball,some,Hypothesis,Subject,Existential,FE,FE
378,167,some boy is hitting a baseball,some child is hitting a baseball,some,Both,Subject,Existential,FE,FE
379,167,at least boy is hitting a baseball,a child is hitting a baseball,at least,Premise,Subject,Existential,FE,FE
380,167,a boy is hitting a baseball,at least a child is hitting a baseball,at least,Hypothesis,Subject,Existential,Neutral,Neutral
381,167,at least boy is hitting a baseball,at least a child is hitting a baseball,at least,Both,Subject,Existential,FE,FE
382,167,not every boy is hitting a baseball,a child is hitting a baseball,not every,Premise,Subject,Negation,Neutral,Neutral
383,167,a boy is hitting a baseball,not every child is hitting a baseball,not every,Hypothesis,Subject,Negation,Neutral,Neutral
384,167,not every boy is hitting a baseball,not every child is hitting a baseball,not every,Both,Subject,Negation,FE,FE
385,167,exactly one boy is hitting a baseball,a child is hitting a baseball,exactly one,Premise,Subject,Existential,FE,FE
386,167,a boy is hitting a baseball,exactly one child is hitting a baseball,exactly one,Hypothesis,Subject,Existential,Neutral,Neutral
387,167,exactly one boy is hitting a baseball,exactly one child is hitting a baseball,exactly one,Both,Subject,Existential,FE,FE
388,167,all but one boy is hitting a baseball,a child is hitting a baseball,all but one,Premise,Subject,Existential,Neutral,Neutral
389,167,a boy is hitting a baseball,all but one child is hitting a baseball,all but one,Hypothesis,Subject,Existential,Neutral,Neutral
390,167,all but one boy is hitting a baseball,all but one child is hitting a baseball,all but one,Both,Subject,Existential,Neutral,Neutral
391,167,every boy is hitting a baseball,a child is hitting a baseball,every,Premise,Subject,Universal,FE,FE
392,167,a boy is hitting a baseball,every child is hitting a baseball,every,Hypothesis,Subject,Universal,Neutral,Neutral
393,167,every boy is hitting a baseball,every child is hitting a baseball,every,Both,Subject,Universal,RE,RE
394,167,no boy is hitting a baseball,a child is hitting a baseball,no,Premise,Subject,Negation,Neutral,Neutral
395,167,a boy is hitting a baseball,no child is hitting a baseball,no,Hypothesis,Subject,Negation,Negation,Contradiction
396,167,no boy is hitting a baseball,no child is hitting a baseball,no,Both,Subject,Negation,RE,RE
397,167,green boy is hitting a baseball,a child is hitting a baseball,green,Premise,Subject,Adjectives/Adverbs,FE,FE
398,167,a boy is hitting a baseball,green child is hitting a baseball,green,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
399,167,green boy is hitting a baseball,green child is hitting a baseball,green,Both,Subject,Adjectives/Adverbs,FE,FE
400,167,happy boy is hitting a baseball,a child is hitting a baseball,happy,Premise,Subject,Adjectives/Adverbs,FE,FE
401,167,a boy is hitting a baseball,happy child is hitting a baseball,happy,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
402,167,happy boy is hitting a baseball,happy child is hitting a baseball,happy,Both,Subject,Adjectives/Adverbs,FE,FE
403,167,sad boy is hitting a baseball,a child is hitting a baseball,sad,Premise,Subject,Adjectives/Adverbs,FE,FE
404,167,a boy is hitting a baseball,sad child is hitting a baseball,sad,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
405,167,sad boy is hitting a baseball,sad child is hitting a baseball,sad,Both,Subject,Adjectives/Adverbs,FE,FE
406,167,good boy is hitting a baseball,a child is hitting a baseball,good,Premise,Subject,Adjectives/Adverbs,FE,FE
407,167,a boy is hitting a baseball,good child is hitting a baseball,good,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
408,167,good boy is hitting a baseball,good child is hitting a baseball,good,Both,Subject,Adjectives/Adverbs,FE,FE
409,167,bad boy is hitting a baseball,a child is hitting a baseball,bad,Premise,Subject,Adjectives/Adverbs,FE,FE
410,167,a boy is hitting a baseball,bad child is hitting a baseball,bad,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
411,167,bad boy is hitting a baseball,bad child is hitting a baseball,bad,Both,Subject,Adjectives/Adverbs,FE,FE
413,167,a boy is not hitting a baseball,a child is hitting a baseball,not,Premise,Verb,Negation,Neutral,Neutral
414,167,a boy is hitting a baseball,a child is not hitting a baseball,not,Hypothesis,Verb,Negation,Neutral,Neutral
415,167,a boy is not hitting a baseball,a child is not hitting a baseball,not,Both,Verb,Negation,FE,FE
416,167,a boy is abnormally hitting a baseball,a child is hitting a baseball,abnormally,Premise,Verb,Adjectives/Adverbs,FE,FE
417,167,a boy is hitting a baseball,a child is abnormally hitting a baseball,abnormally,Hypothesis,Verb,Adjectives/Adverbs,Neutral,Neutral
418,167,a boy is abnormally hitting a baseball,a child is abnormally hitting a baseball,abnormally,Both,Verb,Adjectives/Adverbs,FE,FE
419,167,a boy is elegantly hitting a baseball,a child is hitting a baseball,elegantly,Premise,Verb,Adjectives/Adverbs,FE,FE
420,167,a boy is hitting a baseball,a child is elegantly hitting a baseball,elegantly,Hypothesis,Verb,Adjectives/Adverbs,Neutral,Neutral
421,167,a boy is elegantly hitting a baseball,a child is elegantly hitting a baseball,elegantly,Both,Verb,Adjectives/Adverbs,FE,FE
422,167,a boy is always hitting a baseball,a child is hitting a baseball,always,Premise,Verb,Universal,FE,FE
423,167,a boy is hitting a baseball,a child is always hitting a baseball,always,Hypothesis,Verb,Universal,Neutral,Neutral
424,167,a boy is always hitting a baseball,a child is always hitting a baseball,always,Both,Verb,Universal,FE,FE
425,167,a boy is never hitting a baseball,a child is hitting a baseball,never,Premise,Verb,Universal,Alternation,Contradiction
426,167,a boy is hitting a baseball,a child is never hitting a baseball,never,Hypothesis,Verb,Universal,Negation,Contradiction
427,167,a boy is never hitting a baseball,a child is never hitting a baseball,never,Both,Verb,Universal,FE,FE
429,167,A boy is hitting a good baseball,"A child is hitting a baseball
",good,Premise,Object,Adjectives/Adverbs,FE,FE
430,167,A boy is hitting a baseball,A child is hitting a good baseball,good,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
431,167,A boy is hitting a good baseball,A child is hitting a good baseball,good,Both,Object,Adjectives/Adverbs,FE,FE
432,167,A boy is hitting all but one baseball,"A child is hitting a baseball
",all but one,Premise,Object,Existential,FE,FE
433,167,A boy is hitting a baseball,A child is hitting all but one baseball,all but one,Hypothesis,Object,Existential,Neutral,Neutral
434,167,A boy is hitting all but one baseball,A child is hitting all but one baseball,all but one,Both,Object,Existential,FE,FE
435,167,A boy is hitting every baseball,"A child is hitting a baseball
",every,Premise,Object,Universal,FE,FE
436,167,A boy is hitting a baseball,A child is hitting every baseball,every,Hypothesis,Object,Universal,Neutral,Neutral
437,167,A boy is hitting every baseball,A child is hitting every baseball,every,Both,Object,Universal,FE,FE
438,167,A boy is hitting a bad baseball,"A child is hitting a baseball
",bad,Premise,Object,Adjectives/Adverbs,FE,FE
439,167,A boy is hitting a baseball,A child is hitting a bad baseball,bad,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
440,167,A boy is hitting a bad baseball,A child is hitting a bad baseball,bad,Both,Object,Adjectives/Adverbs,FE,FE
441,167,A boy is hitting a green baseball,"A child is hitting a baseball
",green,Premise,Object,Adjectives/Adverbs,FE,FE
442,167,A boy is hitting a baseball,A child is hitting a green baseball,green,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
443,167,A boy is hitting a green baseball,A child is hitting a green baseball,green,Both,Object,Adjectives/Adverbs,FE,FE
444,167,A boy is hitting a happy baseball,"A child is hitting a baseball
",happy,Premise,Object,Adjectives/Adverbs,FE,FE
445,167,A boy is hitting a baseball,A child is hitting a happy baseball,happy,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
446,167,A boy is hitting a happy baseball,A child is hitting a happy baseball,happy,Both,Object,Adjectives/Adverbs,FE,FE
447,167,A boy is hitting a an abnormal baseball,"A child is hitting a baseball
",an abnormal,Premise,Object,Adjectives/Adverbs,FE,FE
448,167,A boy is hitting a baseball,A child is hitting a an abnormal baseball,an abnormal,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
449,167,A boy is hitting a an abnormal baseball,A child is hitting a an abnormal baseball,an abnormal,Both,Object,Adjectives/Adverbs,FE,FE
450,167,A boy is hitting a sad baseball,"A child is hitting a baseball
",sad,Premise,Object,Adjectives/Adverbs,FE,FE
451,167,A boy is hitting a baseball,A child is hitting a sad baseball,sad,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
452,167,A boy is hitting a sad baseball,A child is hitting a sad baseball,sad,Both,Object,Adjectives/Adverbs,FE,FE
453,167,A boy is hitting no baseball,"A child is hitting a baseball
",no,Premise,Object,Negation,Alternation,Contradiction
454,167,A boy is hitting a baseball,A child is hitting no baseball,no,Hypothesis,Object,Negation,Alternation,Contradiction
455,167,A boy is hitting no baseball,A child is hitting no baseball,no,Both,Object,Negation,FE,FE
456,167,A boy is hitting some baseball,"A child is hitting a baseball
",some,Premise,Object,Existential,FE,FE
457,167,A boy is hitting a baseball,A child is hitting some baseball,some,Hypothesis,Object,Existential,FE,FE
458,167,A boy is hitting some baseball,A child is hitting some baseball,some,Both,Object,Existential,FE,FE
459,167,A boy is hitting exactly one baseball,"A child is hitting a baseball
",exactly one,Premise,Object,Existential,FE,FE
460,167,A boy is hitting a baseball,A child is hitting exactly one baseball,exactly one,Hypothesis,Object,Existential,Neutral,Neutral
461,167,A boy is hitting exactly one baseball,A child is hitting exactly one baseball,exactly one,Both,Object,Existential,FE,FE
462,167,A boy is hitting a an elegant baseball,"A child is hitting a baseball
",an elegant,Premise,Object,Adjectives/Adverbs,FE,FE
463,167,A boy is hitting a baseball,A child is hitting a an elegant baseball,an elegant,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
464,167,A boy is hitting a an elegant baseball,A child is hitting a an elegant baseball,an elegant,Both,Object,Adjectives/Adverbs,FE,FE
465,168,a child is hitting a baseball,a child is missing a baseball,NONE,NONE,NONE,No Modifiers,Negation|Alternation,Contradiction
466,168,every child is hitting a baseball,a child is missing a baseball,every,Premise,Subject,Universal,Negation,Contradiction
467,168,a child is hitting a baseball,every child is missing a baseball,every,Hypothesis,Subject,Universal,Negation,Contradiction
468,168,every child is hitting a baseball,every child is missing a baseball,every,Both,Subject,Universal,Negation,Contradiction
469,168,some child is hitting a baseball,a child is missing a baseball,some,Premise,Subject,Existential,Negation|Alternation,Contradiction
470,168,a child is hitting a baseball,some child is missing a baseball,some,Hypothesis,Subject,Existential,Negation|Alternation,Contradiction
471,168,some child is hitting a baseball,some child is missing a baseball,some,Both,Subject,Existential,Negation|Alternation,Contradiction
472,168,at least child is hitting a baseball,a child is missing a baseball,at least,Premise,Subject,Existential,Negation|Alternation,Contradiction
473,168,a child is hitting a baseball,at least child is missing a baseball,at least,Hypothesis,Subject,Existential,Negation|Alternation,Contradiction
474,168,at least child is hitting a baseball,at least child is missing a baseball,at least,Both,Subject,Existential,Negation|Alternation,Contradiction
475,168,not every child is hitting a baseball,a child is missing a baseball,not every,Premise,Subject,Negation,Neutral,Neutral
476,168,a child is hitting a baseball,not every child is missing a baseball,not every,Hypothesis,Subject,Negation,Neutral,Neutral
477,168,not every child is hitting a baseball,not every child is missing a baseball,not every,Both,Subject,Negation,Neutral,Neutral
478,168,exactly one child is hitting a baseball,a child is missing a baseball,exactly one,Premise,Subject,Existential,Negation|Alternation,Contradiction
479,168,a child is hitting a baseball,exactly one child is missing a baseball,exactly one,Hypothesis,Subject,Existential,Negation|Alternation,Contradiction
480,168,exactly one child is hitting a baseball,exactly one child is missing a baseball,exactly one,Both,Subject,Existential,Negation|Alternation,Contradiction
481,168,all but one child is hitting a baseball,a child is missing a baseball,all but one,Premise,Subject,Existential,Negation,Contradiction
482,168,a child is hitting a baseball,all but one child is missing a baseball,all but one,Hypothesis,Subject,Existential,Negation,Contradiction
483,168,all but one child is hitting a baseball,all but one child is missing a baseball,all but one,Both,Subject,Existential,Negation,Contradiction
484,168,everyone of child is hitting a baseball,a child is missing a baseball,everyone of,Premise,Subject,Universal,Negation,Contradiction
485,168,a child is hitting a baseball,everyone of child is missing a baseball,everyone of,Hypothesis,Subject,Universal,Negation,Contradiction
486,168,everyone of child is hitting a baseball,everyone of child is missing a baseball,everyone of,Both,Subject,Universal,Negation,Contradiction
487,168,no child is hitting a baseball,a child is missing a baseball,no,Premise,Subject,Negation,FE,FE
488,168,a child is hitting a baseball,no child is missing a baseball,no,Hypothesis,Subject,Negation,Neutral,Neutral
489,168,no child is hitting a baseball,no child is missing a baseball,no,Both,Subject,Negation,Negation,Contradiction
490,168,green child is hitting a baseball,a child is missing a baseball,green,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
491,168,a child is hitting a baseball,green child is missing a baseball,green,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
492,168,green child is hitting a baseball,green child is missing a baseball,green,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
493,168,happy child is hitting a baseball,a child is missing a baseball,happy,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
494,168,a child is hitting a baseball,happy child is missing a baseball,happy,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
495,168,happy child is hitting a baseball,happy child is missing a baseball,happy,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
496,168,sad child is hitting a baseball,a child is missing a baseball,sad,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
497,168,a child is hitting a baseball,sad child is missing a baseball,sad,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
498,168,sad child is hitting a baseball,sad child is missing a baseball,sad,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
499,168,good child is hitting a baseball,a child is missing a baseball,good,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
500,168,a child is hitting a baseball,good child is missing a baseball,good,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
501,168,good child is hitting a baseball,good child is missing a baseball,good,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
502,168,bad child is hitting a baseball,a child is missing a baseball,bad,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
503,168,a child is hitting a baseball,bad child is missing a baseball,bad,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
504,168,bad child is hitting a baseball,bad child is missing a baseball,bad,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
508,168,a child is not hitting a baseball,a child is not missing a baseball,not,Both,Verb,Negation,Negation|Alternation,Contradiction
509,168,a child is abnormally hitting a baseball,a child is missing a baseball,abnormally,Premise,Verb,Adjectives/Adverbs,Negation|Alternation,Contradiction
510,168,a child is hitting a baseball,a child is abnormally missing a baseball,abnormally,Hypothesis,Verb,Adjectives/Adverbs,Negation|Alternation,Contradiction
511,168,a child is abnormally hitting a baseball,a child is abnormally missing a baseball,abnormally,Both,Verb,Adjectives/Adverbs,Negation|Alternation,Contradiction
512,168,a child is elegantly hitting a baseball,a child is missing a baseball,elegantly,Premise,Verb,Adjectives/Adverbs,Negation|Alternation,Contradiction
513,168,a child is hitting a baseball,a child is elegantly missing a baseball,elegantly,Hypothesis,Verb,Adjectives/Adverbs,Negation|Alternation,Contradiction
514,168,a child is elegantly hitting a baseball,a child is elegantly missing a baseball,elegantly,Both,Verb,Adjectives/Adverbs,Negation|Alternation,Contradiction
515,168,a child is always hitting a baseball,a child is missing a baseball,always,Premise,Verb,Universal,Negation|Alternation,Contradiction
516,168,a child is hitting a baseball,a child is always missing a baseball,always,Hypothesis,Verb,Universal,Negation|Alternation,Contradiction
517,168,a child is always hitting a baseball,a child is always missing a baseball,always,Both,Verb,Universal,Negation|Alternation,Contradiction
518,168,a child is never hitting a baseball,a child is missing a baseball,never,Premise,Verb,Universal,FE,FE
519,168,a child is hitting a baseball,a child is never missing a baseball,never,Hypothesis,Verb,Universal,RE,RE
520,168,a child is never hitting a baseball,a child is never missing a baseball,never,Both,Verb,Universal,Neutral,Neutral
522,168,A child is hitting a good baseball,"A child is missing a baseball
",good,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
523,168,A child is hitting a baseball,A child is missing a good baseball,good,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
524,168,A child is hitting a good baseball,A child is missing a good baseball,good,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
525,168,A child is hitting all but one baseball,"A child is missing a baseball
",all but one,Premise,Object,Existential,FE,FE
526,168,A child is hitting a baseball,A child is missing all but one baseball,all but one,Hypothesis,Object,Existential,RE,RE
527,168,A child is hitting all but one baseball,A child is missing all but one baseball,all but one,Both,Object,Existential,Neutral,Neutral
528,168,A child is hitting every baseball,"A child is missing a baseball
",every,Premise,Object,Universal,Negation|Alternation,Contradiction
529,168,A child is hitting a baseball,A child is missing every baseball,every,Hypothesis,Object,Universal,Negation|Alternation,Contradiction
530,168,A child is hitting every baseball,A child is missing every baseball,every,Both,Object,Universal,Negation|Alternation,Contradiction
531,168,A child is hitting a bad baseball,"A child is missing a baseball
",bad,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
532,168,A child is hitting a baseball,A child is missing a bad baseball,bad,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
533,168,A child is hitting a bad baseball,A child is missing a bad baseball,bad,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
534,168,A child is hitting a green baseball,"A child is missing a baseball
",green,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
535,168,A child is hitting a baseball,A child is missing a green baseball,green,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
536,168,A child is hitting a green baseball,A child is missing a green baseball,green,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
537,168,A child is hitting a happy baseball,"A child is missing a baseball
",happy,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
538,168,A child is hitting a baseball,A child is missing a happy baseball,happy,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
539,168,A child is hitting a happy baseball,A child is missing a happy baseball,happy,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
540,168,A child is hitting a an abnormal baseball,"A child is missing a baseball
",an abnormal,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
541,168,A child is hitting a baseball,A child is missing a an abnormal baseball,an abnormal,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
542,168,A child is hitting a an abnormal baseball,A child is missing a an abnormal baseball,an abnormal,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
543,168,A child is hitting a sad baseball,"A child is missing a baseball
",sad,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
544,168,A child is hitting a baseball,A child is missing a sad baseball,sad,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
545,168,A child is hitting a sad baseball,A child is missing a sad baseball,sad,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
546,168,A child is hitting no baseball,"A child is missing a baseball
",no,Premise,Object,Negation,FE,FE
547,168,A child is hitting a baseball,A child is missing no baseball,no,Hypothesis,Object,Negation,RE,RE
548,168,A child is hitting no baseball,A child is missing no baseball,no,Both,Object,Negation,Neutral,Neutral
549,168,A child is hitting some baseball,"A child is missing a baseball
",some,Premise,Object,Existential,Negation|Alternation,Contradiction
550,168,A child is hitting a baseball,A child is missing some baseball,some,Hypothesis,Object,Existential,Negation|Alternation,Contradiction
551,168,A child is hitting some baseball,A child is missing some baseball,some,Both,Object,Existential,Negation|Alternation,Contradiction
552,168,A child is hitting exactly one baseball,"A child is missing a baseball
",exactly one,Premise,Object,Existential,Negation|Alternation,Contradiction
553,168,A child is hitting a baseball,A child is missing exactly one baseball,exactly one,Hypothesis,Object,Existential,Negation|Alternation,Contradiction
554,168,A child is hitting exactly one baseball,A child is missing exactly one baseball,exactly one,Both,Object,Existential,Negation|Alternation,Contradiction
555,168,A child is hitting a an elegant baseball,"A child is missing a baseball
",an elegant,Premise,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
556,168,A child is hitting a baseball,A child is missing a an elegant baseball,an elegant,Hypothesis,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
557,168,A child is hitting a an elegant baseball,A child is missing a an elegant baseball,an elegant,Both,Object,Adjectives/Adverbs,Negation|Alternation,Contradiction
558,211,two dogs are playing by a tree,two dogs are playing by a plant,NONE,NONE,NONE,No Modifiers,FE,FE
559,211,every two dogs are playing by a tree,two dogs are playing by a plant,every,Premise,Subject,Universal,FE,FE
560,211,two dogs are playing by a tree,every two dogs are playing by a plant,every,Hypothesis,Subject,Universal,Neutral,Neutral
561,211,every two dogs are playing by a tree,every two dogs are playing by a plant,every,Both,Subject,Universal,RE,RE
562,211,some two dogs are playing by a tree,two dogs are playing by a plant,some,Premise,Subject,Existential,FE,FE
563,211,two dogs are playing by a tree,some two dogs are playing by a plant,some,Hypothesis,Subject,Existential,FE,FE
564,211,some two dogs are playing by a tree,some two dogs are playing by a plant,some,Both,Subject,Existential,RE,RE
565,211,at least two dogs are playing by a tree,two dogs are playing by a plant,at least,Premise,Subject,Existential,FE,FE
566,211,two dogs are playing by a tree,at least two dogs are playing by a plant,at least,Hypothesis,Subject,Existential,FE,FE
567,211,at least two dogs are playing by a tree,at least two dogs are playing by a plant,at least,Both,Subject,Existential,FE,FE
568,211,not every two dogs are playing by a tree,two dogs are playing by a plant,not every,Premise,Subject,Negation,Neutral,Neutral
569,211,two dogs are playing by a tree,not every two dogs are playing by a plant,not every,Hypothesis,Subject,Negation,Neutral,Neutral
570,211,not every two dogs are playing by a tree,not every two dogs are playing by a plant,not every,Both,Subject,Negation,FE,FE
571,211,exactly  two of dogs are playing by a tree,two dogs are playing by a plant,exactly one,Premise,Subject,Existential,FE,FE
572,211,two dogs are playing by a tree,exactly  two of dogs are playing by a plant,exactly one,Hypothesis,Subject,Existential,Neutral,Neutral
573,211,exactly  two of dogs are playing by a tree,exactly  two of dogs are playing by a plant,exactly one,Both,Subject,Existential,FE,FE
574,211,all but  two of dogs are playing by a tree,two dogs are playing by a plant,all but one,Premise,Subject,Existential,Neutral,Neutral
575,211,two dogs are playing by a tree,all but  two of dogs are playing by a plant,all but one,Hypothesis,Subject,Existential,Neutral,Neutral
576,211,all but  two of dogs are playing by a tree,all but  two of dogs are playing by a plant,all but one,Both,Subject,Existential,FE,FE
